"35","Jordan Love","QB","GB","15","15.9","20.9","12.1","26.3","BYE","16","13.4","28.3","10","7.8","17.7","7.1","25.8","20.3","15.9","3.8","-","-","16.1","241.1"
"36","Josh Jacobs","RB","GB","15","14","14.4","12.4","31.7","BYE","32","18.8","13.5","20","19.7","4","-","10.1","17.2","23.2","4.8","1.3","-","15.8","237.1"
"37","Jacoby Brissett","QB","ARI","14","-","0.2","-","-","0","21.7","19.8","BYE","24.8","19.4","23.9","18.7","20.6","20","21.6","11.6","16.5","16.6","16.8","235.4"
"38","Daniel Jones","QB","IND","13","29.5","22.8","15.8","12.4","16.7","23.5","22.2","23.2","17.1","16.5","BYE","16.8","16.1","1.8","-","-","-","-","18","234.4"
"39","Aaron Rodgers","QB","PIT","16","25.7","12.4","12.7","12.8","BYE","17.5","24.6","16.8","12.1","8.4","9.4","-","2.7","21.5","17","15.5","7.3","17.8","14.6","234.1"
"40","Saquon Barkley","RB","PHI","16","18.4","17.4","9.5","17.4","17.8","8.7","5.2","33.4","BYE","13.1","10","12.4","5.6","18.2","17.2","21.2","6.8","-","14.5","232.3"
"41","Bryce Young","QB","CAR","16","10.2","22.3","11.6","10.3","13","19.5","10.5","-","4","2.6","31.8","10.3","22.5","BYE","15.4","17.6","9.9","17.5","14.3","229"
"42","D'Andre Swift","RB","CHI","16","9.5","13.9","10.8","16","BYE","25.5","20.8","15.1","-","14.8","9","1.9","20.8","11.2","22.6","9","21.9","5.8","14.3","228.6"
"43","Nico Collins","WR","HOU","15","5.5","14.2","22.4","11.9","16","BYE","6.7","-","14.5","22.6","24.2","8.5","21.5","16.1","23.5","9.9","8.7","-","15.1","226.2"
"44","Davante Adams","WR","LAR","14","9.1","22.6","14.6","15.6","13.8","7.9","26.5","BYE","23","19.7","7.1","23.2","21.8","6.9","11.1","-","-","-","15.9","222.9"
"45","Lamar Jackson","QB","BAL","13","29.4","26.3","27","11.7","-","-","BYE","-","25.6","16.6","6.7","7.2","7.5","22.1","15.6","4.7","-","21.4","17.1","221.9"
"46","Kenneth Gainwell","RB","PIT","17","5.3","6.6","9.6","31.4","BYE","9.6","3.5","3.5","7.4","2.4","29.5","18.2","6.5","16.2","19.6","23.8","6.8","21.4","13","221.3"
"47","Michael Wilson","WR","ARI","17","1.5","8.1","1.5","4.5","3.6","8.4","7","BYE","9.1","7.4","33.5","21.8","6.6","37.2","16.4","13.2","19.9","20.9","13","220.6"
"48","A.J. Brown","WR","PHI","15","1.8","7.7","22.9","2.7","9.3","14","28.1","-","BYE","3.3","11.9","25","35.2","16","12.1","18.5","11.8","-","14.7","220.3"
"49","Jameson Williams","WR","DET","17","6.6","18.8","6.3","5.7","2","18.6","0","BYE","16.6","23.9","19.7","0","26.9","17.3","26.4","12","5.7","13.4","12.9","219.9"
"50","Courtland Sutton","WR","DEN","17","18.1","1.6","23.8","19.1","17.9","2.7","16.7","10.7","10","5.4","9.9","BYE","17.2","12.2","24.3","20.6","8","1.5","12.9","219.7"
"51","Wan'Dale Robinson","WR","NYG","16","11.5","28.2","3.6","4.4","8.2","20.4","15.5","7.8","13.6","12.2","7.6","30.6","10.4","BYE","16.4","5.2","22.3","-","13.6","217.9"
"52","Jaylen Warren","RB","PIT","16","13.9","17.4","13.1","-","BYE","8.3","19.8","9.3","16.9","11.1","8.7","12.8","12.4","15.2","7.8","29.1","6.4","14.9","13.6","217.1"
"53","C.J. Stroud","QB","HOU","14","9.7","15","12.4","18.4","28.8","BYE","14.7","22.7","4.4","-","-","-","10","12.6","23.4","11.5","15.8","17.3","15.5","216.5"
"54","Rico Dowdle","RB","CAR","17","3.6","2.9","10.8","4","32.4","33.9","10.6","5.4","28.1","15.3","15","11.4","9.9","BYE","12.4","8.3","9.3","3","12.7","216.3"
"55","Tee Higgins","WR","CIN","15","6.3","14.6","2.5","6.2","11.2","11.2","21.6","11.4","33.1","BYE","15.3","8.1","-","27.2","-","14.3","9.9","18.7","14.1","211.6"
"56","Tetairoa McMillan","WR","CAR","17","11.8","16","7.8","10.2","13.3","17.9","6.3","16.9","8.6","11","33","11.5","11.3","BYE","4.5","19.3","1.5","10.5","12.4","211.4"
"57","Kyle Pitts Sr.","TE","ATL","17","12.9","7.7","7.9","18","BYE","4.8","13.2","14.9","7.8","5.8","3.4","4.5","15.2","15","45.6","18.7","3.6","11.8","12.4","210.8"
"58","Stefon Diggs","WR","NE","17","11.7","7.2","5.3","16.1","24.6","5.8","13.9","10.4","12.8","15.6","19.5","4","5.6","BYE","5.6","22.8","22.1","7.3","12.4","210.3"
"59","Breece Hall","RB","NYJ","16","16.5","5.8","9.2","16.1","17.5","5.9","7.2","32.9","BYE","19.5","8.4","13.9","15.6","4.3","5.7","8.3","20.9","-","13","207.7"
"60","RJ Harvey","RB","DEN","17","7.9","3.4","4.6","19.8","6","6.5","7.2","24.1","16.6","3.8","8","BYE","21.2","22","10.5","22.1","18.6","4.3","12.2","206.6"
"61","TreVeyon Henderson","RB","NE","17","11.1","6","7.7","12.6","4.7","4.6","0.5","5.5","12.7","28","32.3","11.1","11.6","BYE","30.1","2.2","8.2","17.3","12.1","206.2"
"62","Michael Pittman Jr.","WR","IND","17","20","8","19.3","15.1","14.9","4","20.8","23.5","20.5","3.9","BYE","13.7","2.3","16.9","5.6","7.2","3.6","3.1","11.9","202.4"
"63","Jason Myers","K","SEA","17","8","9","17","14","5","10","10","BYE","9","15","15","13","19","14","24","2","10","8","11.9","202"
"64","Drake London","WR","ATL","12","13.5","5.9","10.5","25","BYE","31.8","8.2","-","38.8","24.4","18.9","-","-","-","-","5.7","1.4","17.8","16.8","201.9"
"65","DeVonta Smith","WR","PHI","17","4.6","9.3","20","4.9","19.4","8.9","33.3","14.4","BYE","16.9","1.8","14.9","9.8","7.7","7","16.2","4.5","8.2","11.9","201.8"
"66","Justin Jefferson","WR","MIN","17","14.8","11.1","12.5","22.6","19.3","BYE","12.9","14.4","16.7","7.7","11.1","8.8","2.4","3.1","4.2","14.5","7","18.4","11.9","201.5"
"67","CeeDee Lamb","WR","DAL","14","18","20.2","0","-","-","-","22","14.6","15.5","BYE","17.6","11.5","24.2","18.1","17.1","11.1","9.6","1.4","14.4","200.9"
"68","Emeka Egbuka","WR","TB","17","23.6","12.9","14.5","20.1","31.3","4.4","9.8","6.5","BYE","23.5","9","6.2","8.2","3.5","10.4","5","5","1.8","11.5","195.7"
"69","Jaylen Waddle","WR","MIA","16","7","17.8","14.9","7.8","23","15.8","2.5","20.9","14.2","19.4","8.2","BYE","7","18.1","4.6","12.2","0.7","-","12.1","194.1"
"70","Ka'imi Fairbairn","K","HOU","15","14","9","4","10","18","BYE","8","14","18","-","-","12","9","8","18","16","10","26","12.9","194"
